日期,问题编号,问题描述,严重度,类型,根因,修复时间(h),修复PR,状态,是否重复
2026-07-22,P001,生产Dashboard显示NaN%,P0,演示代码+空表,devices表为空导致hardware_total=0,2.0,无,已修复,否
2026-07-22,P002,平台交付进度空白,P0,演示代码+空表,software_modules表为空,0.5,无,已修复,否
2026-07-22,P003,学校进度待启动-2,P1,演示代码硬编码,硬编码total-5导致负数,0.2,无,已修复,否
2026-07-22,P004,devices.type ENUM不一致,P1,数据不一致,ddl.sql写服务models写其他,1.0,无,已修复,是
2026-07-22,P005,devices.status ENUM不一致,P1,数据不一致,ddl.sql和models.py独立演化,0.5,无,已修复,是
2026-07-22,P006,Device模型字段名不匹配,P1,数据不一致,models写installation_date库是install_date,0.2,无,已修复,是
2026-07-22,P007,MySQL ENUM双重编码-device_systems,P1,编码问题,导入SQL未指定utf8mb4,0.5,无,已修复,是
2026-07-22,P008,MySQL ENUM双重编码-software_modules,P1,编码问题,导入SQL未指定utf8mb4,0.5,无,已修复,是
2026-07-22,P009,MySQL ENUM双重编码-todos.priority,P1,编码问题,导入SQL未指定utf8mb4,0.5,无,已修复,是
2026-07-22,P010,MySQL ENUM双重编码-todos.status,P1,编码问题,导入SQL未指定utf8mb4,0.5,无,已修复,是
2026-07-22,P011,只curl未发现NaN问题,P1,验证不足,未做L3浏览器验证,1.0,无,已修复,是
2026-07-20,P012,CORS配置错误导致登录失败,P0,配置+验证不足,CORS配置错误+只做curl验证,2.0,无,已修复,是
2026-07-20,P013,.env.production填了后端地址,P0,配置理解错误,误以为要填地址实际要置空走反代,0.5,无,已修复,否
2026-07-20,P014,用户密码哈希损坏,P1,数据迁移问题,密码哈希格式损坏,1.0,无,已修复,否
2026-07-22,P015,Claude凭假设说菜单没做,P2,凭假设断言,没读代码就下结论,0.5,无,已修复,是
2026-07-22,P016,Claude凭假设说无push权限,P2,凭假设断言,从未验证就写进记忆误导3天,0.5,无,已修复,是
2026-07-22,P017,uvicorn reload不可靠,P2,工具问题,改代码后reload未生效需手动重启,0,无,已知,否
2026-07-18,P018,数据库缺production_lines表,P1,表结构演化,需求新增表未同步到生产,0.5,无,已修复,否
2026-07-22,P019,Claude凭空造不存在的seed_dashboard_demo.sql并让用户source,P1,凭假设断言,没先检查项目已有seed_demo.py就自己造文件,0.5,无,已修复,是
2026-07-22,P020,Claude写的修表ALTER与项目权威迁移脚本对不上,P2,数据不一致,没先读20260721迁移脚本就临时写ALTER,0.3,无,已修复,是
